city_name,cumulative_confirmed_cases(Feb19),population(10 thousand),GDP(10 thousand YUAN)
Chongqing,560,3390,195002700
Shanghai,333,1455,306329900
Chengdu,141,1435,110100047
Beijing,395,1359,280149400
Zhoukou,76,1258,2360046
Nanyang,155,1200,7557584
Baoding,32,1199,13573495
Linyi,49,1162,18035241
Fuyang,155,1070,5431259
Handan,31,1051,13518281
Tianjin,130,1050,185491900
Xuzhou,79,1039,33978846
Heze,18,1019,7708513
Shangqiu,91,987,4793000
Ganzhou,76,974,7665439
Shijiazhuang,28,973,33962728
Zhumadian,139,961,3668609
Harbin,194,955,47127585
Bijie,23,923,3721144
Xinyang,269,911,5867475
Weifang,44,908,17510000
Xi'an,120,906,71920980
Guangzhou,339,898,215031516
Jining,52,883,17934002
Zhengzhou,156,842,53849953
Zhanjiang,22,839,12740693
Shaoyang,102,826,3417031
Yancheng,27,826,20373200
Wenzhou,504,825,21810810
Zunyi,32,805,11193200
Maoming,14,804,13968211
Hengyang,48,800,9082292
Xingtai,23,790,3706907
Shangrao,123,783,6203743
Cangzhou,48,778,8667928
Nantong,40,764,28626300
Nanning,54,757,34107409
Tangshan,56,755,32053543
Hangzhou,169,754,116214609
Changchun,45,749,51428765
Hefei,173,743,48124819
Quanzhou,46,742,17587544
Huanggang,2856,740,2235000
Luoyang,31,737,16555755
Shenyang,28,737,51481026
Nanchong,38,733,6692215
Yulin-GX,11,724,4928736
Changsha,242,709,63903360
Jieyang,8,703,9403706
Fuzhou-FJ,71,693,43005530
Suzhou-JS,87,691,81945100
Nanjing,93,681,117151000
Dazhou,40,672,4890622
Qujing,13,661,8096320
Suzhou-AH,41,656,6442018
Yantai,47,654,32506652
Bozhou,108,651,4212362
Xinxiang,57,647,8005138
Jinan,47,644,63890455
Jingzhou,1510,642,6439500
Yongzhou,43,642,4708548
Liaocheng,38,640,5731900
Anyang,53,624,6166974
Zhaotong,25,619,2558688
Changde,79,606,16105239
Taizhou-ZJ,146,604,16240361
Yichun-JX,106,602,2850981
Ningbo,156,597,62826874
Dalian,19,595,53917639
Dezhou,37,595,8957000
Xiangyang,1167,592,20508774
Suqian,13,591,9464340
Lu'an,69,588,5320556
Tai'an,33,571,11032000
Yueyang,156,567,13125986
Pingdingshan,58,567,5649429
Shantou,25,565,23315759
Kunming,53,563,38896946
Huai'an,66,561,22359500
Kaifeng,26,559,6887402
Weinan,15,556,3705194
Guigang,8,556,4597731
Yibin,12,555,7516818
Meizhou,16,550,4191338
Mianyang,22,537,11480260
Ji'an,22,536,2531933
Chenzhou,39,534,6904667
Guilin,31,534,8119388
Qiqihar,43,534,6366549
Lianyungang,48,533,14478400
Anqing,83,531,5138061
Suihua,47,528,1765596
Nanchang,229,525,36408753
Huaihua,40,522,3456184
Jiujiang,118,520,10076908
Xiaogan,3329,519,3164822
Zhangzhou,20,514,8148209
Yuncheng,19,513,2461333
Luzhou,24,510,8407557
Xuchang,39,508,7495540
Taizhou-JS,37,505,19948100
Wuxi,55,493,54652800
Jinhua,55,486,7413927
Yiyang,59,479,6868076
