"vote_gop","state_abb","income","mar_gay","gun_law"
0,"PA",2,0,0
0,"TX",5,0,0
1,"TX",1,0,0
1,"UT",4,1,0
1,"TX",4,1,0
0,"NY",2,0,0
0,"TX",3,0,0
0,"NY",3,0,0
0,"TN",4,1,0
1,"PA",1,0,0
1,"ME",5,0,0
0,"CA",5,0,0
1,"MA",4,0,0
0,"FL",3,0,0
1,"WA",5,1,1
0,"MN",3,0,0
0,"VA",3,0,0
0,"AZ",5,0,0
1,"NM",5,0,0
0,"OH",3,0,0
0,"FL",3,1,0
0,"NY",1,0,0
1,"TX",2,1,0
0,"OH",3,0,0
0,"TX",3,1,0
0,"WA",3,0,0
0,"OH",3,1,0
1,"FL",5,1,0
1,"IA",4,0,0
0,"CA",4,1,0
0,"TN",1,1,1
0,"CA",2,0,0
1,"IA",2,1,1
1,"MI",2,1,0
0,"IL",3,0,1
0,"OH",3,0,0
0,"NV",2,0,0
1,"WA",5,1,0
0,"IN",3,1,0
0,"IL",2,0,0
1,"CA",4,0,0
0,"IL",3,1,0
0,"NC",4,0,0
1,"VA",3,1,0
1,"WA",1,1,0
1,"KY",3,1,0
1,"OR",2,1,1
0,"WA",5,0,0
1,"MO",2,1,0
0,"MA",4,0,0
0,"WA",4,0,0
1,"AR",2,1,1
0,"UT",2,0,0
0,"MN",2,0,1
1,"UT",2,1,1
1,"UT",2,1,0
1,"MO",4,1,0
0,"IL",3,0,0
0,"TX",5,1,0
1,"TX",4,1,1
1,"FL",3,0,0
0,"CA",4,0,0
0,"LA",4,1,0
0,"AZ",3,0,0
0,"MD",5,0,0
0,"OH",1,0,1
1,"NV",2,1,0
1,"VA",5,1,0
1,"OH",3,1,0
0,"TN",2,0,1
0,"VA",2,0,0
0,"WA",3,0,0
0,"OH",5,0,0
0,"MI",3,0,0
0,"NJ",5,1,0
0,"MA",4,0,0
1,"NY",4,1,0
1,"TX",5,1,0
1,"ME",3,1,1
1,"SD",5,1,1
1,"AZ",3,0,0
0,"NE",3,0,0
1,"NC",2,1,0
0,"AZ",3,0,0
0,"PA",4,1,0
1,"WA",3,1,0
1,"AZ",5,1,1
0,"IL",2,1,0
0,"FL",4,0,0
0,"NY",5,0,0
0,"MN",1,0,0
0,"ID",5,0,1
1,"VA",3,1,0
0,"OR",2,0,0
0,"MA",1,1,0
1,"PA",2,1,0
0,"NY",3,0,0
0,"IL",3,1,0
0,"MN",1,0,0
0,"FL",3,0,0
0,"VA",5,0,0
1,"NM",3,0,0
1,"WA",3,1,0
0,"PA",4,0,0
1,"CT",3,0,1
0,"PA",4,0,0
0,"MI",4,0,0
1,"IN",3,1,0
0,"MO",3,0,0
0,"KS",3,0,0
0,"OR",1,0,0
0,"VA",5,0,0
0,"NJ",3,0,0
1,"TN",2,1,0
0,"MI",4,0,0
1,"MI",3,1,1
1,"WY",3,0,0
0,"VA",5,0,0
0,"IL",3,1,0
1,"GA",3,1,1
1,"MD",4,1,0
0,"NY",5,0,0
1,"TX",4,1,0
1,"TN",1,1,1
1,"WA",3,1,1
0,"WA",2,0,0
1,"UT",2,1,0
0,"HI",3,0,0
0,"NC",3,0,0
0,"NM",4,0,0
1,"TX",2,0,0
0,"WI",2,0,0
1,"NE",3,1,0
0,"PA",5,0,0
1,"MI",5,1,0
1,"MD",2,1,0
0,"NH",2,0,0
0,"OH",3,0,0
0,"WA",4,0,0
0,"OR",2,0,0
1,"SC",3,1,0
