"state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000","municode","vote_share_2000","codes","margin_2000"
"RO",0,-21.1229,"EDISON FIDELIS DE SOUZA",11927,"PPB","51-edison fidelis de souza",1,0,"JI PARANA",25.602,"RO_JI PARANA",-21.411
"RO",0,-9.41687,"SUELI ALVES ARAGAO",9297,"PMDB","94-sueli alves aragao",1,1,"CACOAL",52.033,"RO_CACOAL",26.615
"RO",0,-2.74177,"REGINALDO MONTEIRO",3902,"PDT","116-reginaldo monteiro",1,0,"PIMENTA BUENO",30.763,"RO_PIMENTA BUENO",-23.842
"RO",1,2.74177,"MARIA INES BAPTISTA DA SILVA ZANOL",4122,"PSB","116-maria ines baptista da silva zanol",1,1,"PIMENTA BUENO",54.605,"RO_PIMENTA BUENO",23.842
"RO",1,19.4234,"MELKISEDEK DONADON",9693,"PSC","132-melkisedek donadon",1,1,"VILHENA",60.895,"RO_VILHENA",27.965
"RO",0,-1.53198,"JOSE AMAURI DOS SANTOS",9577,"PPS","159-jose amauri dos santos",1,1,"JARU",56.581,"RO_JARU",27.937
"RO",1,1.53198,"ADEMARIO SERAFIM DE ANDRADE",9875,"PDT","159-ademario serafim de andrade",1,0,"JARU",28.644,"RO_JARU",-27.937
"RO",1,18.3905,"CARLOS MAGNO RAMOS",7841,"PFL","175-carlos magno ramos",1,1,"OURO PRETO DO OESTE",55.738,"RO_OURO PRETO DO OESTE",31.095
"RO",0,-5.40494,"JOSE RIBEIRO DA SILVA FILHO",5443,"PMDB","191-jose ribeiro da silva filho",1,1,"PRESIDENTE MEDICI",47.396,"RO_PRESIDENTE MEDICI",6.835
"RO",1,5.40494,"ANTONIO GERALDO DA SILVA",6065,"PPB","191-antonio geraldo da silva",1,0,"PRESIDENTE MEDICI",40.561,"RO_PRESIDENTE MEDICI",-6.835
"RO",0,-16.6667,"RAYMUNDO MESQUITA MUNIZ",810,"PL","213-raymundo mesquita muniz",1,1,"COSTA MARQUES",53.299,"RO_COSTA MARQUES",6.598
"RO",0,-12.2275,"CERENEU JOAO NAUE",4691,"PDT","230-cereneu joao naue",1,1,"COLORADO DO OESTE",38.417,"RO_COLORADO DO OESTE",10.857
"RO",1,12.2275,"EDSON LOPES DA SILVA",5998,"PSDB","230-edson lopes da silva",1,0,"COLORADO DO OESTE",13.146,"RO_COLORADO DO OESTE",-25.271
"RO",0,-10.3843,"MARIA FERREIRA",2507,"PT","272-maria ferreira",1,0,"CEREJEIRAS",19.07,"RO_CEREJEIRAS",-4.816
"RO",1,10.3843,"MANOEL FRANCISCO DE ALMEIDA",3088,"PDT","272-manoel francisco de almeida",1,0,"CEREJEIRAS",20.793,"RO_CEREJEIRAS",-3.093
"RO",1,16.6406,"IVO NARCISO CASSOL",8569,"PDT","299-ivo narciso cassol",1,1,"ROLIM DE MOURA",69.596,"RO_ROLIM DE MOURA",39.192
"RO",0,-8.65084,"MOISES JOSE RIBEIRO DE OLIVEIRA",3944,"PTB","310-moises jose ribeiro de oliveira",1,0,"ALTA FLORESTA DO OESTE",38.551,"RO_ALTA FLORESTA DO OESTE",-2.395
"RO",1,8.65084,"JOSE PEREIRA DE ASSIS",4691,"PMDB","310-jose pereira de assis",1,0,"ALTA FLORESTA DO OESTE",8.074,"RO_ALTA FLORESTA DO OESTE",-32.872
"RO",1,23.1599,"PEDRO DE LIMA PAZ",2627,"PPB","353-pedro de lima paz",1,0,"SANTA LUZIA DO OESTE",36.575,"RO_SANTA LUZIA DO OESTE",-4.072
"RO",1,48.9204,"NEODI CARLOS FRANCISCO DE OLIVEIRA",3414,"PFL","396-neodi carlos francisco de oliveira",1,1,"MACHADINHO DO OESTE",53.884,"RO_MACHADINHO DO OESTE",17.716
"RO",0,-2.12863,"SIDNEY APARECIDO POLETINI",2138,"PMDB","418-sidney aparecido poletini",1,0,"SAO MIGUEL DO GUAPORE",20.58,"RO_SAO MIGUEL DO GUAPORE",-28.438
"RO",1,2.12863,"RENI AGOSTINI",2231,"PT","418-reni agostini",1,1,"SAO MIGUEL DO GUAPORE",49.018,"RO_SAO MIGUEL DO GUAPORE",18.616
"RO",0,-46.1326,"JOSE ANTENOR NOGUEIRA",975,"PMDB","434-jose antenor nogueira",1,1,"NOVA MAMORE",39.912,"RO_NOVA MAMORE",0.0769999999999982
"RO",1,46.1326,"VICENTE DE PAULO BATISTA RODRIGUES",2645,"PDT","434-vicente de paulo batista rodrigues",1,0,"NOVA MAMORE",20.253,"RO_NOVA MAMORE",-19.659
"RO",0,-13.7967,"MILTON MITSUO SAIKI",1234,"PTB","450-milton mitsuo saiki",1,1,"CABIXI",54.908,"RO_CABIXI",22.735
"RO",1,44.0211,"MANOEL FRANCISCO DE LIMA FILHO",3005,"PTB","515-manoel francisco de lima filho",1,0,"NOVO HORIZONTE DO OESTE",20.192,"RO_NOVO HORIZONTE DO OESTE",-18.303
"RO",0,-13.4173,"CHARLES LUIS PINHEIRO GOMES",1581,"PL","558-charles luis pinheiro gomes",1,1,"VALE DO PARAISO",42.327,"RO_VALE DO PARAISO",6.56
"RO",1,13.4173,"JOSE GASQUI PERRETA FILHO",2071,"PTB","558-jose gasqui perreta filho",1,0,"VALE DO PARAISO",35.767,"RO_VALE DO PARAISO",-6.56
"RO",1,5.62259,"EDSON MARTINS DE PAULA",2057,"PMDB","566-edson martins de paula",1,1,"URUPA",62.274,"RO_URUPA",39.01
"RO",1,2.10198,"ISMAEL GONCALVES DE PAIVA",2453,"PMDB","574-ismael goncalves de paiva",1,0,"MIRANTE DA SERRA",37.569,"RO_MIRANTE DA SERRA",-18.608
"RO",0,-23.6111,"CELSO LUIZ GARDA",605,"PSC","582-celso luiz garda",1,0,"SERINGUEIRAS",27.21,"RO_SERINGUEIRAS",-2.323
"RO",1,23.6111,"JOAQUIM DOMINGOS BOARIA",979,"PSDB","582-joaquim domingos boaria",1,1,"SERINGUEIRAS",29.533,"RO_SERINGUEIRAS",2.323
"RO",0,-37.6147,"JOAO BATISTA MARQUES VIEIRA",918,"PDT","590-joao batista marques vieira",1,1,"THEOBROMA",49.211,"RO_THEOBROMA",1.401
"RO",1,37.6147,"ADAO NINKE",2025,"PMDB","590-adao ninke",1,0,"THEOBROMA",47.81,"RO_THEOBROMA",-1.401
"RO",1,6.63697,"NEURI CARLOS PERSCH",2394,"PMDB","604-neuri carlos persch",1,1,"MINISTRO ANDREAZZA",57.254,"RO_MINISTRO ANDREAZZA",14.508
"RO",1,27.7627,"VANDELINO SEBASTIAO SIMON FILHO",2821,"PMDB","612-vandelino sebastiao simon filho",1,1,"GOVERNADOR JORGE TEIXEIRA",44.363,"RO_GOVERNADOR JORGE TEIXEIRA",15.931
"RO",1,19.2778,"SANDI CALISTRO DE SOUSA",1024,"PSDB","647-sandi calistro de sousa",1,1,"RIO CRESPO",67.907,"RO_RIO CRESPO",35.814
"RO",1,24.0885,"JAIR MIOTTO",1991,"PMDB","663-jair miotto",1,1,"MONTE NEGRO",71.513,"RO_MONTE NEGRO",48.95
"RO",0,-16.0594,"MARCELINO HELLMANN",622,"PMDB","671-marcelino hellmann",1,1,"CAMPO NOVO DE RONDONIA",47.644,"RO_CAMPO NOVO DE RONDONIA",28.384
"RO",1,16.0594,"CLAUDIONOR CARDOSO SANTIAGO",860,"PSDB","671-claudionor cardoso santiago",1,0,"CAMPO NOVO DE RONDONIA",16.959,"RO_CAMPO NOVO DE RONDONIA",-30.685
"RO",1,24.3867,"JOAO BECKER",862,"PT","680-joao becker",1,0,"CUJUBIM",33.828,"RO_CUJUBIM",-16.349
"RO",1,22.0797,"DIRCEU DE OLIVEIRA",904,"PFL","701-dirceu de oliveira",1,0,"PARECIS",38.848,"RO_PARECIS",-22.304
"RO",1,11.5145,"JOSE MENDES FERREIRA FILHO",1075,"PT","710-jose mendes ferreira filho",1,1,"SAO FELIPE D OESTE",41.641,"RO_SAO FELIPE D OESTE",12.406
"RO",1,4.13749,"HELIO DE LARA",818,"PMDB","728-helio de lara",1,1,"PRIMAVERA DE RONDONIA",47.866,"RO_PRIMAVERA DE RONDONIA",15.747
"RO",1,7.9865,"VITORIA DE FATIMA BETELLI DA SILVA",960,"PSDB","736-vitoria de fatima betelli da silva",1,0,"ALTO ALEGRE DOS PARECIS",44.271,"RO_ALTO ALEGRE DOS PARECIS",-11.458
"RO",1,10.7948,"ELIAS JOSE FERREIRA",934,"PMN","744-elias jose ferreira",1,1,"NOVA UNIAO",41.497,"RO_NOVA UNIAO",10.117
"RO",0,-15.9459,"ANTONIO ZOTESSO",622,"PT","752-antonio zotesso",1,0,"TEIXEIROPOLIS",32.459,"RO_TEIXEIROPOLIS",-16.69
"RO",0,-1.02002,"ELSON DE SOUZA MONTES",1310,"PDT","779-elson de souza montes",1,0,"BURITIS",27.472,"RO_BURITIS",-1.152
"RO",1,1.02002,"ADAIR FERREIRA DE SOUZA",1337,"PMDB","779-adair ferreira de souza",1,0,"BURITIS",17.154,"RO_BURITIS",-11.47
